TIPO;TEMPO;X;Y;KEYS;URL
move;0;0;0;;www.globo.com/
move;0;0;0;;www.globo.com/
move;0;0;0;;www.globo.com/
move;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
move;0;0;0;;www.globo.com/
freeze;0;0;0;;www.globo.com/
move;0;0;0;;www.globo.com/
move;0;1018;706;;www.globo.com/
move;0;1012;885;;www.globo.com/
move;0;1012;885;;www.globo.com/
move;0;1012;885;;www.globo.com/
move;0;1012;885;;www.globo.com/
move;0;862;992;;www.globo.com/
move;0;860;1089;;www.globo.com/
move;0;860;1089;;www.globo.com/
move;0;860;1089;;www.globo.com/
move;0;852;1177;;www.globo.com/
freeze;0;424;1932;;www.globo.com/
move;0;424;2032;;www.globo.com/
move;0;424;2134;;www.globo.com/
move;0;424;2134;;www.globo.com/
move;0;422;2237;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
freeze;0;419;2338;;www.globo.com/
freeze;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
freeze;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
freeze;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;419;2338;;www.globo.com/
move;0;730;2618;;www.globo.com/
move;0;730;2618;;www.globo.com/
freeze;0;730;2618;;www.globo.com/
move;0;728;3217;;www.globo.com/
freeze;0;720;3206;;www.globo.com/
freeze;0;720;3406;;www.globo.com/
freeze;0;720;3406;;www.globo.com/
move;0;720;3406;;www.globo.com/
freeze;0;720;3406;;www.globo.com/
freeze;0;718;3506;;www.globo.com/
move;0;718;3506;;www.globo.com/
move;0;718;3506;;www.globo.com/
freeze;0;716;3508;;www.globo.com/
move;0;716;3508;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
freeze;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;683;3712;;www.globo.com/
move;0;878;4674;;www.globo.com/
move;0;902;4674;;www.globo.com/
move;0;902;4674;;www.globo.com/
move;0;902;4674;;www.globo.com/
move;0;902;4674;;www.globo.com/
move;0;902;4674;;www.globo.com/
move;0;959;5083;;www.globo.com/
move;0;959;5083;;www.globo.com/
move;0;959;5083;;www.globo.com/
move;0;959;5083;;www.globo.com/
move;0;959;5083;;www.globo.com/
move;0;622;5316;;www.globo.com/
freeze;0;585;5322;;www.globo.com/
move;0;585;5322;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;530;5530;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
freeze;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;696;5864;;www.globo.com/
move;0;617;5803;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
move;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
freeze;0;618;6111;;www.globo.com/
